"MiscUnit","CLAF","PRID","Drain","Layer","TopDep","BotDep","CFRAG","CFRAG_std","SDTO","SDTO_std","STPC","STPC_std","CLPC","CLPC_std","PSCL","BULK","BULK_std","TAWC","TAWC_std","CECS","CECS_std","TEB","TEB_std","BSAT","BSAT_std","ECEC","ECEC_std","CECc","CECc_std","ESP","ESP_std","ALSA","ALSA_std","PHAQ","PHAQ_std","TCEQ","TCEQ_std","GYPS","GYPS_std","ELCO","ELCO_std","TOTN","TOTN_std","CNrt","CNrt_std","ORGC","ORGC_std"
"N","LPu","LPu/D","-7","D5",80,100,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/D","-7","D6",100,150,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/D","-7","D7",150,200,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/E","M","D1",0,20,13,11.00,51,24.00,28,16.00,21,15.00,"M",1.00,0.21,20,3.00,17,10.00,5.00,4.00,27,23.00,5.00,3.00,24.00,19.00,1,1.00,14,14.00,5.00,0.60,0.00,0.00,3.00,6.00,1.20,1.00,3.23,2.41,13.00,4.00,33.99,23.42
"N","LPu","LPu/E","M","D2",20,40,16,10.00,55,24.00,26,15.00,19,18.00,"M",1.13,0.23,16,4.00,14,8.00,3.00,2.00,26,24.00,4.00,2.00,43.00,36.00,1,1.00,12,4.00,5.10,0.60,0.00,0.00,5.00,12.00,0.00,0.00,2.42,1.54,13.00,5.00,24.04,13.56
"N","LPu","LPu/E","-7","D3",40,60,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/E","-7","D4",60,80,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/E","-7","D5",80,100,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/E","-7","D6",100,150,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LPu","LPu/E","-7","D7",150,200,-7,-7.00,-7,-7.00,-7,-7.00,-7,-7.00,"-",-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7,-7.00,-7,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00,-7.00
"N","LV","LV/A","W","D1",0,20,6,5.00,56,24.00,24,14.00,20,15.00,"M",1.40,0.12,13,5.00,13,7.00,12.00,7.00,83,13.00,11.00,7.00,45.00,16.00,2,1.00,0,0.00,6.40,0.60,0.00,0.00,1.00,0.00,0.70,0.60,1.01,0.49,12.00,2.00,12.26,6.43
"N","LV","LV/A","W","D2",20,40,8,8.00,51,25.00,21,13.00,28,18.00,"M",1.43,0.15,13,4.00,14,8.00,12.00,7.00,79,15.00,11.00,7.00,43.00,14.00,3,2.00,0,0.00,6.30,0.60,0.00,0.00,1.00,0.00,0.60,0.50,0.61,0.28,11.00,2.00,6.33,3.04
"N","LV","LV/A","W","D3",40,60,10,12.00,47,23.00,20,13.00,33,17.00,"M",1.46,0.16,13,6.00,15,8.00,13.00,8.00,79,16.00,13.00,8.00,43.00,15.00,2,2.00,0,0.00,6.40,0.60,0.00,0.00,1.00,0.00,0.80,0.70,0.49,0.22,10.00,3.00,4.71,2.25
"N","LV","LV/A","W","D4",60,80,18,20.00,44,22.00,21,13.00,35,16.00,"F",1.48,0.21,14,5.00,16,8.00,15.00,9.00,80,16.00,15.00,9.00,44.00,17.00,3,2.00,0,0.00,6.50,0.70,0.00,0.00,1.00,0.00,1.00,1.00,0.46,0.21,10.00,3.00,4.08,2.06
"N","LV","LV/A","W","D5",80,100,17,17.00,43,21.00,22,14.00,35,15.00,"F",1.51,0.21,13,5.00,16,8.00,15.00,9.00,82,16.00,15.00,9.00,46.00,17.00,3,2.00,0,0.00,6.60,0.80,0.00,0.00,1.00,0.00,1.40,1.60,0.42,0.22,10.00,3.00,3.42,1.79
