"MiscUnit","CLAF","PRID","Drain","Layer","TopDep","BotDep","CFRAG","CFRAG_std","SDTO","SDTO_std","STPC","STPC_std","CLPC","CLPC_std","PSCL","BULK","BULK_std","TAWC","TAWC_std","CECS","CECS_std","TEB","TEB_std","BSAT","BSAT_std","ECEC","ECEC_std","CECc","CECc_std","ESP","ESP_std","ALSA","ALSA_std","PHAQ","PHAQ_std","TCEQ","TCEQ_std","GYPS","GYPS_std","ELCO","ELCO_std","TOTN","TOTN_std","CNrt","CNrt_std","ORGC","ORGC_std"
"N","FLe","FLe/E","M","D7",150,200,17,21.00,45,33.00,35,23.00,20,16.00,"M",1.51,0.14,16,6.00,14,9.00,25.00,17.00,100,0.00,26.00,17.00,73.00,26.00,4,4.00,0,0.00,7.50,0.90,28.00,20.00,13.00,11.00,2.00,0.60,0.44,0.34,8.00,3.00,4.45,3.48
"N","FLm","FLm/A","M","D1",0,20,18,22.00,39,26.00,29,11.00,32,23.00,"M",1.38,0.31,20,9.00,23,15.00,21.00,15.00,78,21.00,20.00,14.00,51.00,30.00,3,2.00,0,0.00,6.50,0.90,0.00,0.00,6.00,7.00,1.50,1.70,1.53,0.85,14.00,4.00,24.50,18.78
"N","FLm","FLm/A","M","D2",20,40,17,18.00,41,28.00,25,13.00,34,27.00,"M",1.41,0.23,16,10.00,20,15.00,20.00,15.00,79,19.00,16.00,12.00,49.00,31.00,3,2.00,0,0.00,6.50,0.90,0.00,0.00,8.00,13.00,1.10,1.00,0.98,0.58,14.00,5.00,10.27,6.06
"N","FLm","FLm/A","M","D3",40,60,18,20.00,40,28.00,25,13.00,35,27.00,"F",1.42,0.23,17,11.00,21,14.00,18.00,14.00,82,18.00,16.00,13.00,55.00,33.00,5,4.00,0,0.00,6.60,0.90,0.00,0.00,13.00,20.00,1.10,1.00,0.70,0.50,14.00,4.00,9.90,7.63
"N","FLm","FLm/A","M","D4",60,80,9,7.00,49,24.00,23,12.00,28,21.00,"M",1.46,0.20,17,9.00,19,14.00,17.00,14.00,82,17.00,15.00,12.00,66.00,48.00,5,4.00,0,0.00,6.70,1.00,0.00,0.00,12.00,13.00,1.60,1.20,0.54,0.30,12.00,5.00,6.79,4.66
"N","FLm","FLm/A","M","D5",80,100,25,25.00,50,27.00,22,14.00,28,22.00,"M",1.45,0.22,18,10.00,18,14.00,16.00,15.00,81,16.00,11.00,8.00,68.00,48.00,5,5.00,0,0.00,6.80,0.90,0.00,0.00,14.00,16.00,1.80,1.70,0.58,0.32,13.00,4.00,6.15,3.54
"N","FLm","FLm/A","M","D6",100,150,21,20.00,53,22.00,25,15.00,22,13.00,"M",1.50,0.19,19,10.00,11,6.00,9.00,5.00,82,18.00,9.00,5.00,70.00,48.00,4,3.00,0,0.00,7.10,0.80,25.00,24.00,13.00,15.00,1.90,1.90,0.47,0.37,17.00,7.00,6.00,3.52
"N","FLm","FLm/A","M","D7",150,200,26,28.00,52,16.00,25,8.00,23,14.00,"M",1.55,0.22,16,6.00,11,7.00,27.00,15.00,99,1.00,27.00,15.00,35.00,14.00,3,2.00,0,0.00,7.80,0.60,32.00,37.00,13.00,11.00,3.00,0.90,0.55,0.33,11.00,5.00,3.72,2.77
"N","FLm","FLm/B","M","D1",0,20,34,26.00,14,14.00,46,14.00,40,16.00,"F",1.25,0.22,20,9.00,32,11.00,48.00,23.00,95,14.00,47.00,25.00,57.00,25.00,2,1.00,0,0.00,7.20,1.10,34.00,27.00,7.00,7.00,1.50,1.70,2.10,1.23,13.00,4.00,29.96,17.34
"N","FLm","FLm/B","M","D2",20,40,26,21.00,19,20.00,45,17.00,36,17.00,"F",1.29,0.18,16,10.00,27,5.00,43.00,25.00,99,2.00,43.00,24.00,77.00,42.00,2,1.00,0,0.00,7.20,1.30,35.00,32.00,8.00,10.00,1.10,1.00,1.07,0.53,12.00,4.00,17.38,14.49
"N","FLm","FLm/B","M","D3",40,60,26,22.00,27,25.00,42,18.00,31,18.00,"M",1.30,0.21,17,11.00,27,10.00,39.00,25.00,99,2.00,39.00,25.00,78.00,42.00,2,1.00,0,0.00,7.60,0.60,27.00,14.00,12.00,15.00,1.10,1.00,0.99,0.64,12.00,5.00,9.73,6.94
"N","FLm","FLm/B","M","D4",60,80,29,17.00,34,31.00,38,19.00,28,21.00,"M",1.40,0.21,15,7.00,23,11.00,38.00,24.00,99,1.00,38.00,24.00,79.00,41.00,1,0.00,0,0.00,7.20,1.30,23.00,17.00,9.00,7.00,1.60,1.20,0.67,0.41,12.00,5.00,10.35,9.00
"N","FLm","FLm/B","M","D5",80,100,46,17.00,43,33.00,32,18.00,25,22.00,"M",1.49,0.29,14,5.00,20,14.00,33.00,29.00,100,0.00,33.00,29.00,79.00,46.00,3,3.00,0,0.00,7.20,1.20,29.00,22.00,14.00,15.00,1.80,1.70,0.72,0.40,11.00,5.00,5.35,4.00
"N","FLm","FLm/B","M","D6",100,150,21,20.00,37,38.00,36,27.00,27,21.00,"M",1.50,0.19,19,10.00,21,13.00,25.00,17.00,96,7.00,25.00,17.00,79.00,52.00,4,4.00,0,0.00,7.20,1.50,25.00,24.00,13.00,14.00,1.90,1.90,0.93,0.68,11.00,6.00,4.53,3.65
"N","FLm","FLm/B","M","D7",150,200,26,28.00,39,32.00,37,23.00,24,21.00,"M",1.55,0.22,17,8.00,16,13.00,27.00,15.00,99,1.00,27.00,15.00,62.00,27.00,3,2.00,0,0.00,7.60,0.70,32.00,37.00,12.00,5.00,3.00,0.90,0.55,0.33,11.00,5.00,4.89,3.16
"N","FLm","FLm/C","M","D1",0,20,7,5.00,24,25.00,42,16.00,34,20.00,"M",1.40,0.23,20,9.00,27,13.00,27.00,14.00,96,5.00,28.00,12.00,56.00,24.00,1,1.00,0,0.00,6.60,0.60,0.00,0.00,6.00,7.00,2.10,1.60,2.72,1.40,13.00,5.00,43.86,33.59
"N","FLm","FLm/C","M","D2",20,40,17,18.00,25,24.00,44,14.00,31,18.00,"M",1.41,0.23,16,10.00,25,13.00,25.00,14.00,96,7.00,27.00,13.00,71.00,26.00,1,1.00,0,0.00,6.70,0.80,0.00,0.00,1.00,1.00,1.80,1.00,1.21,0.46,12.00,5.00,12.97,5.50
"N","FLm","FLm/C","M","D3",40,60,18,20.00,25,26.00,45,16.00,30,19.00,"M",1.39,0.22,17,11.00,25,14.00,25.00,14.00,95,8.00,28.00,14.00,77.00,31.00,2,1.00,0,0.00,6.80,0.80,0.00,0.00,13.00,20.00,1.80,1.20,0.99,0.46,11.00,5.00,9.41,5.03
"N","FLm","FLm/C","M","D4",60,80,9,7.00,25,25.00,47,16.00,28,17.00,"M",1.41,0.20,18,8.00,21,9.00,24.00,14.00,97,5.00,27.00,13.00,76.00,30.00,2,1.00,0,0.00,6.80,0.80,23.00,17.00,12.00,13.00,3.60,4.30,0.86,0.39,13.00,6.00,8.26,3.26
"N","FLm","FLm/C","M","D5",80,100,25,25.00,28,32.00,45,20.00,27,18.00,"M",1.39,0.20,19,6.00,21,9.00,26.00,16.00,96,5.00,29.00,16.00,64.00,15.00,3,4.00,0,0.00,6.90,0.80,29.00,22.00,14.00,16.00,1.80,1.70,0.79,0.33,14.00,7.00,8.37,3.63
"N","FLm","FLm/C","M","D6",100,150,21,20.00,18,20.00,48,16.00,34,19.00,"M",1.45,0.18,19,10.00,24,11.00,29.00,17.00,95,6.00,29.00,17.00,64.00,18.00,1,1.00,0,0.00,6.90,0.80,25.00,24.00,13.00,15.00,1.90,1.90,1.05,0.60,12.00,6.00,11.99,7.93
"N","FLm","FLm/C","M","D7",150,200,26,28.00,36,30.00,44,23.00,20,15.00,"M",1.55,0.22,14,4.00,17,11.00,27.00,15.00,99,1.00,27.00,15.00,73.00,21.00,3,2.00,0,0.00,7.00,0.80,32.00,37.00,13.00,11.00,1.00,0.30,0.55,0.33,11.00,5.00,5.69,1.16
"N","FLm","FLm/D","M","D1",0,20,18,22.00,19,22.00,51,15.00,30,21.00,"M",1.36,0.44,20,9.00,29,11.00,35.00,14.00,100,1.00,33.00,17.00,65.00,8.00,2,1.00,0,0.00,7.00,0.80,34.00,27.00,6.00,7.00,1.50,1.70,1.50,0.38,13.00,6.00,24.02,11.73
"N","FLm","FLm/D","M","D2",20,40,17,18.00,20,24.00,49,20.00,31,22.00,"M",1.48,0.27,16,10.00,26,14.00,34.00,16.00,99,1.00,34.00,16.00,66.00,8.00,1,1.00,0,0.00,7.30,0.70,15.00,9.00,8.00,13.00,1.10,1.00,1.05,0.32,11.00,2.00,12.97,5.02
"N","FLm","FLm/D","M","D3",40,60,18,20.00,23,23.00,48,18.00,29,21.00,"M",1.48,0.26,17,11.00,23,14.00,37.00,17.00,100,1.00,37.00,17.00,67.00,10.00,2,1.00,0,0.00,7.60,0.80,21.00,10.00,13.00,20.00,1.10,1.00,0.80,0.29,12.00,6.00,7.46,2.87
"N","FLm","FLm/D","M","D4",60,80,9,7.00,31,34.00,42,21.00,27,22.00,"M",1.54,0.19,14,4.00,21,17.00,36.00,22.00,99,2.00,36.00,22.00,67.00,10.00,3,3.00,0,0.00,7.60,0.90,17.00,11.00,12.00,13.00,1.60,1.20,0.84,0.54,12.00,7.00,7.04,4.97
"N","FLm","FLm/D","M","D5",80,100,25,25.00,26,30.00,46,20.00,28,21.00,"M",1.46,0.29,14,5.00,21,16.00,33.00,20.00,100,0.00,34.00,20.00,68.00,7.00,3,2.00,0,0.00,7.90,0.50,13.00,6.00,14.00,16.00,1.80,1.70,2.13,1.97,10.00,6.00,7.82,4.73
"N","FLm","FLm/D","M","D6",100,150,13,19.00,34,38.00,40,25.00,26,22.00,"M",1.50,0.22,19,10.00,19,16.00,29.00,15.00,97,9.00,29.00,15.00,62.00,23.00,3,2.00,0,0.00,7.90,0.40,17.00,23.00,13.00,15.00,1.90,1.90,1.10,0.50,6.00,3.00,6.52,5.35
"N","FLm","FLm/D","M","D7",150,200,17,28.00,33,37.00,42,27.00,25,25.00,"M",1.59,0.24,16,6.00,18,18.00,30.00,17.00,100,0.00,30.00,17.00,60.00,23.00,3,2.00,0,0.00,8.00,0.30,23.00,26.00,13.00,11.00,3.00,0.90,0.55,0.33,11.00,5.00,3.63,2.75
"N","FLs","FLs/A","I","D1",0,20,4,2.00,39,25.00,35,17.00,26,20.00,"M",1.37,0.10,17,7.00,14,8.00,40.00,33.00,100,1.00,40.00,33.00,47.00,20.00,22,18.00,0,0.00,8.40,0.70,213.00,145.00,6.00,7.00,1.50,1.70,0.69,0.34,10.00,1.00,6.92,3.47
"N","FLs","FLs/A","I","D2",20,40,7,6.00,39,24.00,34,15.00,27,19.00,"M",1.42,0.17,12,5.00,13,7.00,33.00,20.00,99,1.00,34.00,18.00,46.00,19.00,38,35.00,0,0.00,8.40,0.50,202.00,154.00,8.00,13.00,1.10,1.00,0.56,0.27,10.00,2.00,5.38,2.93
"N","FLs","FLs/A","I","D3",40,60,8,7.00,41,27.00,34,16.00,25,18.00,"M",1.39,0.12,14,7.00,12,7.00,29.00,18.00,99,1.00,29.00,18.00,51.00,21.00,43,39.00,0,0.00,8.40,0.50,195.00,173.00,13.00,20.00,1.10,1.00,0.44,0.23,9.00,2.00,3.94,1.85
"N","FLs","FLs/A","I","D4",60,80,16,9.00,45,28.00,32,16.00,23,20.00,"M",1.40,0.10,17,9.00,11,7.00,32.00,19.00,100,1.00,32.00,19.00,52.00,20.00,43,37.00,0,0.00,8.50,0.50,220.00,163.00,12.00,13.00,1.60,1.20,0.35,0.17,9.00,3.00,3.34,1.73
"N","FLs","FLs/A","I","D5",80,100,17,12.00,41,27.00,34,16.00,25,21.00,"M",1.44,0.16,18,10.00,12,6.00,41.00,19.00,100,1.00,41.00,19.00,49.00,19.00,47,40.00,0,0.00,8.50,0.40,273.00,177.00,14.00,16.00,1.80,1.70,0.36,0.16,9.00,3.00,3.60,2.06
"N","FLs","FLs/A","I","D6",100,150,12,12.00,44,27.00,32,15.00,24,21.00,"M",1.41,0.21,16,6.00,13,8.00,68.00,61.00,100,1.00,68.00,61.00,54.00,23.00,53,41.00,0,0.00,8.50,0.60,270.00,170.00,13.00,15.00,1.90,1.90,0.33,0.16,9.00,3.00,3.06,1.81
"N","FLs","FLs/A","I","D7",150,200,31,33.00,47,33.00,25,16.00,28,22.00,"M",1.46,0.13,16,6.00,13,11.00,19.00,20.00,68,33.00,16.00,19.00,38.00,18.00,6,8.00,29,28.00,5.70,1.50,0.00,0.00,13.00,11.00,0.00,0.00,0.49,0.38,19.00,11.00,8.89,9.92
"N","FLs","FLs/B","I","D1",0,20,2,1.00,41,25.00,33,15.00,26,20.00,"M",1.40,0.20,19,6.00,16,10.00,40.00,33.00,100,1.00,40.00,33.00,51.00,24.00,46,44.00,0,0.00,8.50,0.80,213.00,145.00,7.00,7.00,1.50,1.70,0.65,0.34,9.00,2.00,6.30,3.29
"N","FLs","FLs/B","I","D2",20,40,7,6.00,40,23.00,32,13.00,28,18.00,"M",1.39,0.22,18,7.00,15,8.00,33.00,20.00,99,1.00,34.00,18.00,53.00,26.00,47,41.00,0,0.00,8.50,0.60,202.00,154.00,8.00,10.00,1.10,1.00,0.54,0.22,10.00,2.00,4.88,2.35
"N","FLs","FLs/B","I","D3",40,60,8,7.00,43,29.00,31,17.00,26,19.00,"M",1.39,0.12,17,8.00,12,9.00,29.00,18.00,99,1.00,29.00,18.00,55.00,29.00,43,39.00,0,0.00,8.50,0.50,195.00,173.00,12.00,15.00,1.10,1.00,0.46,0.23,9.00,3.00,4.15,2.27
"N","FLs","FLs/B","I","D4",60,80,16,9.00,49,29.00,29,16.00,22,19.00,"M",1.40,0.10,15,7.00,10,7.00,32.00,19.00,100,1.00,32.00,19.00,56.00,31.00,43,37.00,0,0.00,8.50,0.70,220.00,163.00,9.00,7.00,1.60,1.20,0.34,0.17,9.00,3.00,3.22,2.20
"N","FLs","FLs/B","I","D5",80,100,17,12.00,44,26.00,32,14.00,24,21.00,"M",1.44,0.16,14,5.00,12,6.00,41.00,19.00,100,1.00,41.00,19.00,50.00,27.00,47,40.00,0,0.00,8.60,0.80,273.00,177.00,14.00,15.00,1.80,1.70,0.35,0.17,10.00,3.00,3.47,2.19
"N","FLs","FLs/B","I","D6",100,150,3,3.00,49,29.00,27,12.00,24,25.00,"M",1.41,0.21,16,6.00,11,7.00,68.00,61.00,100,1.00,68.00,61.00,53.00,30.00,53,41.00,0,0.00,8.60,0.90,270.00,170.00,13.00,14.00,1.90,1.90,0.30,0.14,9.00,2.00,3.07,1.71
"N","FLs","FLs/B","I","D7",150,200,21,20.00,44,31.00,34,21.00,22,16.00,"M",1.52,0.13,17,8.00,14,8.00,42.00,23.00,100,0.00,42.00,23.00,67.00,28.00,21,22.00,0,0.00,8.20,0.40,116.00,94.00,12.00,5.00,3.00,0.90,0.41,0.29,9.00,5.00,3.05,1.98
"N","FLs","FLs/C","I","D1",0,20,4,2.00,39,25.00,35,17.00,26,20.00,"M",1.37,0.10,19,7.00,14,8.00,40.00,33.00,100,1.00,40.00,33.00,47.00,20.00,22,18.00,0,0.00,8.40,0.70,213.00,145.00,6.00,7.00,2.10,1.60,0.69,0.34,10.00,1.00,6.92,3.47
"N","FLs","FLs/C","I","D2",20,40,7,6.00,39,24.00,34,15.00,27,19.00,"M",1.42,0.17,18,6.00,13,7.00,33.00,20.00,99,1.00,34.00,18.00,46.00,19.00,38,35.00,0,0.00,8.40,0.50,202.00,154.00,1.00,1.00,1.80,1.00,0.56,0.27,10.00,2.00,5.38,2.93
"N","FLs","FLs/C","I","D3",40,60,8,7.00,41,27.00,34,16.00,25,18.00,"M",1.39,0.12,18,8.00,12,7.00,29.00,18.00,99,1.00,29.00,18.00,51.00,21.00,43,39.00,0,0.00,8.40,0.50,195.00,173.00,13.00,20.00,1.80,1.20,0.44,0.23,9.00,2.00,3.94,1.85
"N","FLs","FLs/C","I","D4",60,80,16,9.00,45,28.00,32,16.00,23,20.00,"M",1.40,0.10,18,8.00,11,7.00,32.00,19.00,100,1.00,32.00,19.00,52.00,20.00,43,37.00,0,0.00,8.50,0.50,220.00,163.00,12.00,13.00,3.60,4.30,0.35,0.17,9.00,3.00,3.34,1.73
"N","FLs","FLs/C","I","D5",80,100,17,12.00,41,27.00,34,16.00,25,21.00,"M",1.44,0.16,19,6.00,12,6.00,41.00,19.00,100,1.00,41.00,19.00,49.00,19.00,47,40.00,0,0.00,8.50,0.40,273.00,177.00,14.00,16.00,1.80,1.70,0.36,0.16,9.00,3.00,3.60,2.06
"N","FLs","FLs/C","I","D6",100,150,12,12.00,44,27.00,32,15.00,24,21.00,"M",1.41,0.21,18,6.00,13,8.00,68.00,61.00,100,1.00,68.00,61.00,54.00,23.00,53,41.00,0,0.00,8.50,0.60,270.00,170.00,13.00,15.00,1.90,1.90,0.33,0.16,9.00,3.00,3.06,1.81
"N","FLs","FLs/C","I","D7",150,200,17,23.00,37,31.00,39,22.00,24,17.00,"M",1.60,0.16,14,4.00,17,12.00,24.00,17.00,94,13.00,24.00,16.00,63.00,25.00,2,2.00,0,0.00,7.00,1.10,96.00,113.00,13.00,11.00,2.00,0.60,0.70,0.54,10.00,5.00,4.12,2.47
"N","FLs","FLs/D","I","D1",0,20,4,2.00,50,19.00,34,18.00,16,6.00,"M",1.37,0.10,15,5.00,7,2.00,40.00,33.00,100,1.00,40.00,33.00,47.00,21.00,22,18.00,0,0.00,8.60,0.40,213.00,145.00,6.00,7.00,1.50,1.70,0.51,0.13,10.00,2.00,6.26,3.25
"N","FLs","FLs/D","I","D2",20,40,7,6.00,49,19.00,34,17.00,17,6.00,"M",1.42,0.17,14,4.00,8,2.00,33.00,20.00,99,1.00,34.00,18.00,41.00,16.00,38,35.00,0,0.00,8.50,0.30,202.00,154.00,8.00,13.00,1.10,1.00,0.56,0.33,10.00,3.00,5.28,3.39
"N","FLs","FLs/D","I","D3",40,60,13,6.00,52,19.00,33,17.00,15,4.00,"M",1.39,0.12,14,4.00,8,2.00,29.00,18.00,99,1.00,29.00,18.00,47.00,15.00,43,39.00,0,0.00,8.50,0.30,195.00,173.00,13.00,20.00,1.10,1.00,0.41,0.19,8.00,1.00,3.54,1.48
"N","FLs","FLs/D","I","D4",60,80,21,1.00,54,21.00,32,18.00,14,5.00,"M",1.40,0.10,14,4.00,8,3.00,32.00,19.00,100,1.00,32.00,19.00,49.00,14.00,43,37.00,0,0.00,8.60,0.30,220.00,163.00,12.00,13.00,1.60,1.20,0.36,0.17,9.00,2.00,3.47,1.38
"N","FLs","FLs/D","I","D5",80,100,26,5.00,55,21.00,32,18.00,13,5.00,"M",1.44,0.16,14,5.00,8,2.00,41.00,19.00,100,1.00,41.00,19.00,49.00,15.00,47,40.00,0,0.00,8.60,0.30,273.00,177.00,14.00,16.00,1.80,1.70,0.38,0.15,9.00,2.00,3.64,1.89
"N","FLs","FLs/D","I","D6",100,150,12,12.00,56,12.00,31,11.00,13,4.00,"M",1.41,0.21,13,4.00,13,8.00,68.00,61.00,100,1.00,68.00,61.00,54.00,23.00,53,41.00,0,0.00,8.50,0.60,270.00,170.00,13.00,15.00,1.90,1.90,0.33,0.16,9.00,3.00,2.84,1.35
"N","FLs","FLs/D","I","D7",150,200,24,27.00,44,33.00,41,25.00,15,14.00,"M",1.46,0.14,16,6.00,11,8.00,20.00,17.00,93,13.00,20.00,17.00,74.00,23.00,2,1.00,0,0.00,7.10,1.10,52.00,52.00,13.00,11.00,2.00,0.60,0.60,0.39,9.00,3.00,4.78,3.84
"N","FLt","FLt/A","I","D1",0,20,9,11.00,29,30.00,28,14.00,43,24.00,"F",1.07,0.29,17,7.00,20,10.00,25.00,21.00,74,26.00,21.00,16.00,25.00,13.00,35,36.00,13,12.00,4.70,0.60,0.00,0.00,6.00,7.00,1.50,1.70,1.87,0.90,16.00,7.00,28.28,20.59
"N","FLt","FLt/A","I","D2",20,40,4,4.00,29,31.00,26,13.00,45,23.00,"F",0.94,0.22,12,5.00,19,10.00,29.00,27.00,79,22.00,29.00,26.00,25.00,12.00,16,14.00,13,15.00,4.40,0.90,0.00,0.00,8.00,13.00,1.10,1.00,1.32,0.64,15.00,7.00,25.75,26.00
"N","FLt","FLt/A","I","D3",40,60,7,6.00,29,30.00,26,13.00,45,24.00,"F",0.88,0.17,14,7.00,20,10.00,31.00,30.00,77,22.00,40.00,38.00,27.00,11.00,35,37.00,18,23.00,4.20,0.90,0.00,0.00,13.00,20.00,1.10,1.00,1.20,0.65,16.00,9.00,31.34,32.85
"N","FLt","FLt/A","I","D4",60,80,9,10.00,28,29.00,26,13.00,46,24.00,"F",0.89,0.26,17,9.00,21,10.00,34.00,34.00,76,23.00,49.00,44.00,25.00,13.00,38,37.00,19,25.00,3.70,0.60,0.00,0.00,12.00,13.00,1.60,1.20,1.08,0.58,17.00,10.00,23.34,24.30
"N","FLt","FLt/A","I","D5",80,100,13,13.00,30,29.00,26,14.00,44,24.00,"F",0.94,0.34,18,10.00,20,10.00,35.00,34.00,77,22.00,57.00,43.00,27.00,12.00,40,40.00,21,24.00,3.50,0.70,0.00,0.00,14.00,16.00,1.80,1.70,1.04,0.58,15.00,8.00,18.79,18.09
"N","FLt","FLt/A","I","D6",100,150,15,13.00,33,34.00,25,14.00,42,27.00,"F",1.41,0.18,16,6.00,23,12.00,42.00,35.00,81,19.00,73.00,38.00,28.00,12.00,44,45.00,16,13.00,3.50,0.70,0.00,0.00,13.00,15.00,1.90,1.90,1.08,0.56,20.00,12.00,40.35,42.18
"N","FLt","FLt/A","I","D7",150,200,31,33.00,8,13.00,35,9.00,57,15.00,"F",1.46,0.13,16,6.00,31,5.00,49.00,35.00,83,18.00,16.00,19.00,31.00,11.00,41,45.00,29,28.00,4.00,1.50,0.00,0.00,13.00,11.00,0.00,0.00,1.06,0.49,27.00,11.00,24.62,4.33
"N","FLt","FLt/B","I","D1",0,20,3,3.00,26,29.00,33,17.00,41,22.00,"F",1.06,0.31,19,6.00,21,9.00,26.00,24.00,75,25.00,28.00,27.00,26.00,13.00,34,37.00,14,11.00,4.80,0.80,0.00,0.00,7.00,7.00,1.50,1.70,1.85,0.93,16.00,7.00,28.04,19.22
"N","FLt","FLt/B","I","D2",20,40,6,8.00,25,29.00,32,16.00,43,22.00,"F",0.96,0.26,18,7.00,19,9.00,28.00,28.00,76,25.00,31.00,30.00,26.00,12.00,15,14.00,18,21.00,4.50,1.00,0.00,0.00,8.00,10.00,1.10,1.00,1.43,0.72,14.00,7.00,26.56,24.67
"N","FLt","FLt/B","I","D3",40,60,2,2.00,25,28.00,32,17.00,43,22.00,"F",0.94,0.24,17,8.00,20,10.00,31.00,33.00,76,24.00,45.00,42.00,28.00,10.00,34,37.00,24,24.00,4.20,0.90,0.00,0.00,12.00,15.00,1.10,1.00,1.40,0.85,17.00,10.00,30.93,30.42
"N","FLt","FLt/B","I","D4",60,80,5,5.00,26,27.00,31,17.00,43,23.00,"F",0.96,0.31,15,7.00,20,10.00,33.00,35.00,76,24.00,52.00,45.00,27.00,13.00,37,37.00,23,23.00,4.00,0.90,0.00,0.00,9.00,7.00,1.60,1.20,1.26,0.70,15.00,9.00,21.27,18.36
"N","FLt","FLt/B","I","D5",80,100,14,17.00,28,27.00,30,17.00,42,22.00,"F",0.94,0.34,14,5.00,20,10.00,34.00,35.00,80,22.00,66.00,60.00,27.00,11.00,39,39.00,21,24.00,4.00,1.00,0.00,0.00,14.00,15.00,1.80,1.70,1.18,0.66,15.00,8.00,20.40,19.70
"N","FLt","FLt/B","I","D6",100,150,8,9.00,29,31.00,30,17.00,41,24.00,"F",1.50,0.15,16,6.00,23,11.00,43.00,38.00,81,24.00,61.00,40.00,28.00,11.00,44,44.00,16,13.00,3.60,0.70,0.00,0.00,13.00,14.00,1.90,1.90,1.18,0.63,17.00,8.00,29.13,28.79
"N","FLt","FLt/B","I","D7",150,200,21,20.00,12,18.00,34,12.00,54,15.00,"F",1.52,0.13,17,8.00,27,7.00,53.00,39.00,88,17.00,42.00,23.00,31.00,13.00,47,47.00,28,29.00,4.30,1.60,0.00,0.00,12.00,5.00,0.00,0.00,1.05,0.46,26.00,11.00,28.68,16.17
"N","FLt","FLt/C","I","D1",0,20,3,3.00,26,29.00,33,17.00,41,22.00,"F",1.06,0.31,19,7.00,21,9.00,26.00,24.00,75,25.00,28.00,27.00,26.00,13.00,34,37.00,14,11.00,4.80,0.80,0.00,0.00,6.00,7.00,2.10,1.60,1.85,0.93,16.00,7.00,28.04,19.22
"N","FLt","FLt/C","I","D2",20,40,4,3.00,25,29.00,32,16.00,43,22.00,"F",0.96,0.26,18,6.00,19,9.00,28.00,28.00,76,25.00,31.00,30.00,26.00,12.00,15,14.00,18,21.00,4.50,1.00,0.00,0.00,1.00,1.00,1.80,1.00,1.43,0.72,14.00,7.00,26.56,24.67
"N","FLt","FLt/C","I","D3",40,60,5,5.00,25,28.00,32,17.00,43,22.00,"F",0.94,0.24,18,8.00,20,10.00,31.00,33.00,76,24.00,45.00,42.00,28.00,10.00,34,37.00,24,24.00,4.20,0.90,0.00,0.00,13.00,20.00,1.80,1.20,1.40,0.85,17.00,10.00,30.93,30.42
"N","FLt","FLt/C","I","D4",60,80,4,4.00,26,27.00,31,17.00,43,23.00,"F",0.96,0.31,18,8.00,20,10.00,33.00,35.00,76,24.00,52.00,45.00,27.00,13.00,37,37.00,23,23.00,4.00,0.90,0.00,0.00,12.00,13.00,3.60,4.30,1.26,0.70,15.00,9.00,21.27,18.36
"N","FLt","FLt/C","I","D5",80,100,9,10.00,28,27.00,30,17.00,42,22.00,"F",0.94,0.34,19,6.00,20,10.00,34.00,35.00,80,22.00,66.00,60.00,27.00,11.00,39,39.00,21,24.00,4.00,1.00,0.00,0.00,14.00,16.00,1.80,1.70,1.18,0.66,15.00,8.00,20.40,19.70
"N","FLt","FLt/C","I","D6",100,150,11,13.00,29,31.00,30,17.00,41,24.00,"F",1.48,0.18,18,6.00,23,11.00,43.00,38.00,81,24.00,61.00,40.00,28.00,11.00,44,44.00,16,13.00,3.60,0.70,0.00,0.00,13.00,15.00,1.90,1.90,1.18,0.63,17.00,8.00,29.13,28.79
"N","FLt","FLt/C","I","D7",150,200,17,23.00,12,18.00,34,12.00,54,15.00,"F",1.60,0.16,14,4.00,27,7.00,53.00,39.00,88,17.00,24.00,16.00,31.00,13.00,47,47.00,28,29.00,4.30,1.60,0.00,0.00,13.00,11.00,0.00,0.00,1.05,0.46,26.00,11.00,28.68,16.17
"N","FLt","FLt/D","I","D1",0,20,4,3.00,8,8.00,55,13.00,37,8.00,"F",1.06,0.31,15,5.00,19,7.00,26.00,24.00,75,25.00,28.00,27.00,26.00,13.00,34,37.00,14,11.00,4.80,0.80,0.00,0.00,6.00,7.00,1.50,1.70,1.85,0.93,16.00,7.00,40.32,32.64
"N","FLt","FLt/D","I","D2",20,40,9,10.00,8,6.00,56,12.00,36,9.00,"F",0.96,0.26,14,4.00,19,8.00,28.00,28.00,76,25.00,31.00,30.00,26.00,13.00,15,14.00,18,21.00,4.50,1.00,0.00,0.00,8.00,13.00,1.10,1.00,1.43,0.72,14.00,7.00,20.21,8.41
"N","FLt","FLt/D","I","D3",40,60,14,13.00,9,6.00,56,11.00,35,11.00,"F",0.94,0.24,14,4.00,20,13.00,31.00,33.00,76,24.00,45.00,42.00,29.00,14.00,34,37.00,24,24.00,4.20,0.90,0.00,0.00,13.00,20.00,1.10,1.00,1.40,0.85,17.00,10.00,29.80,31.85
"N","FLt","FLt/D","I","D4",60,80,15,14.00,14,14.00,56,12.00,30,9.00,"Z",0.96,0.31,14,4.00,21,17.00,33.00,35.00,76,24.00,52.00,45.00,34.00,14.00,37,37.00,23,23.00,4.00,0.90,0.00,0.00,12.00,13.00,1.60,1.20,1.26,0.70,15.00,9.00,31.26,37.93
