"NEWSUID","NoSoilComp","DomFAO_Name","DomFAO_Prop","PropSynthProf","SoilMapUnit","SOIL1","PROP1","PRID1","SOIL2","PROP2","PRID2","SOIL3","PROP3","PRID3","SOIL4","PROP4","PRID4","SOIL5","PROP5","PRID5","SOIL6","PROP6","PRID6","SOIL7","PROP7","PRID7","SOIL8","PROP8","PRID8","SOIL9","PROP9","PRID9","SOIL10","PROP10","PRID10","WATE"
"WD20031042",2,"AR",85,0,"ARo1CLp5/B","ARo",85,"ARo/B","CLp",15,"CLp/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031044",2,"LP",94,0,"LPq1LXh5/B","LPq",94,"LPq/B","LXh",6,"LXh/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031045",2,"AR",94,0,"ARo1CMx5/B","ARo",94,"ARo/B","CMx",6,"CMx/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031047",1,"CL",100,0,"CLp1/B","CLp",100,"CLp/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031048",3,"RG",52,0,"RGe3LPe4ACh5/B","RGe",52,"RGe/B","LPe",35,"LPe/B","ACh",13,"ACh/B",,,,,,,,,,,,,,,,,,,,,,
"WD20031049",2,"CM",87,0,"CMx1SNh5/B","CMx",87,"CMx/B","SNh",13,"SNh/B",,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031051",1,"AR",100,0,"ARo1/B","ARo",100,"ARo/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"WD20031053",4,"CM",32,0,"CMe4FLe4RGe4LVk5/B","CMe",32,"CMe/B","FLe",30,"FLe/B","RGe",20,"RGe/B","LVk",18,"LVk/B",,,,,,,,,,,,,,,,,,,
"WD20031056",5,"VR",34,0,"VRk4CLp4LVk5SNh5LPq5/B","VRk",34,"VRk/B","CLp",28,"CLp/B","LVk",17,"LVk/B","SNh",15,"SNh/B","LPq",6,"LPq/B",,,,,,,,,,,,,,,,
"WD20031060",1,"AR",100,0,"ARo1/B","ARo",100,"ARo/B",,,,,,,,,,,,,,,,,,,,,,,,,,,,
