pixel_vaue	description	cover_%	cell_count	square_km
11882	WD40011882	0.00	4948	3306
11883	WD30011883	0.00	10158	7122
11884	WD30011884	0.00	8517	5984
11885	WD40011885	0.00	4849	3235
11886	WD40011886	0.00	136	95
11887	WD40011887	0.00	506	346
11888	WD40011888	0.00	1859	1257
11889	WD30011889	0.00	4258	3006
11890	WD30011890	0.00	2511	1788
11891	WD30011891	0.00	911	650
11892	WD30011892	0.00	424	303
11893	WD40011893	0.00	29776	19367
11894	WD40011894	0.00	291	203
11895	WD40011895	0.00	357	247
11896	WD40011896	0.00	1396	966
11897	WD40011897	0.00	1202	828
11898	WD40011898	0.00	5148	3539
11899	WD40011899	0.00	26909	18172
11900	WD40011900	0.00	22888	15780
11901	WD40011901	0.00	1303	888
11902	WD40011902	0.00	468	326
11903	WD40011903	0.00	4474	3168
11904	WD40011904	0.00	2942	2046
11905	WD30011905	0.00	1067	754
11906	WD40011906	0.00	326	233
11907	WD40011907	0.00	65	45
11908	WD30011908	0.00	290	206
11909	WD40011909	0.03	250987	162297
11910	WD40011910	0.02	191172	114433
11911	WD40011911	0.01	38549	23395
11912	WD40011912	0.00	3863	2393
11913	WD40011913	0.00	15372	9223
11914	WD40011914	0.00	1112	687
11915	WD40011915	0.00	233	135
11916	WD40011916	0.00	7642	5210
11917	WD40011917	0.00	20737	12667
11918	WD40011918	0.00	37123	21216
11919	WD40011919	0.00	2447	1395
11920	WD40011920	0.01	46575	28274
11921	WD40011921	0.00	52	33
11922	WD40011922	0.01	50007	30824
11923	WD40011923	0.00	13748	8105
11924	WD40011924	0.00	10734	6359
11925	WD40011925	0.00	3317	2317
11926	WD30011926	0.00	26169	19784
11927	WD30011927	0.02	124899	87427
11928	WD30011928	0.00	21142	15162
11929	WD30011929	0.00	404	275
11930	WD20011930	0.01	86285	59445
11931	WD40011931	0.00	256	175
11933	WD20011933	0.01	58686	39271
11934	WD40011934	0.00	2391	1621
11935	WD30011935	0.00	73	52
12000	WD10012000	0.00	155	127
12001	WD10012001	0.00	387	316
12003	WD10012003	0.00	88	72
12004	WD20012004	0.00	876	732
12005	WD20012005	0.00	174	144
12006	WD20012006	0.00	4339	3656
12007	WD30012007	0.00	106	88
12008	WD30012008	0.00	1263	1043
12009	WD30012009	0.00	1178	973
12010	WD20012010	0.00	5840	4803
12011	WD20012011	0.00	2036	1673
12012	WD20012012	0.00	868	711
12013	WD20012013	0.00	867	714
12014	WD20012014	0.00	3771	3088
12015	WD20012015	0.00	5684	4665
12016	WD20012016	0.00	1463	1200
12017	WD10012017	0.00	105	89
12018	WD30012018	0.00	481	395
12019	WD20012019	0.00	9547	7811
12020	WD30012020	0.00	23857	19657
12021	WD30012021	0.00	8537	6995
12022	WD30012022	0.00	782	643
12023	WD30012023	0.00	772	639
12024	WD30012024	0.00	19605	16201
12025	WD30012025	0.00	592	489
12026	WD30012026	0.00	10708	8892
12027	WD30012027	0.00	4404	3611
12028	WD20012028	0.00	2124	1805
12029	WD30012029	0.00	534	439
12030	WD30012030	0.00	932	772
12031	WD30012031	0.00	2147	1778
12032	WD30012032	0.00	252	209
12033	WD30012033	0.00	907	753
12034	WD30012034	0.00	4025	3354
12035	WD30012035	0.00	171	142
12036	WD30012036	0.00	5521	4573
12037	WD30012037	0.00	2070	1716
12038	WD30012038	0.00	2920	2428
12039	WD10012039	0.00	1535	1306
12040	WD30012040	0.00	2705	2257
12041	WD30012041	0.00	2376	1984
12042	WD30012042	0.00	2705	2265
12043	WD30012043	0.00	2046	1718
12044	WD30012044	0.00	21831	18351
12045	WD30012045	0.00	1516	1275
12046	WD10012046	0.00	1637	1380
12047	WD10012047	0.00	1037	874
12048	WD10012048	0.00	1876	1583
12049	WD20012049	0.00	74	63
12050	WD10012050	0.00	611	515
12051	WD10012051	0.00	1002	846
12052	WD10012052	0.01	38587	32699
12053	WD10012053	0.00	5496	4655
12054	WD10012054	0.00	4654	3956
12055	WD10012055	0.00	1202	1021
12056	WD10012056	0.00	171	145
12057	WD10012057	0.00	405	344
12058	WD10012058	0.00	5654	4802
12059	WD10012059	0.00	437	371
12060	WD10012060	0.00	1727	1470
12061	WD10012061	0.00	222	189
12062	WD10012062	0.00	1199	1017
12063	WD10012063	0.00	6875	5818
12064	WD10012064	0.00	1170	990
12065	WD10012065	0.00	262	222
12066	WD10012066	0.00	4267	3605
